,position,company,location,details
89,"Business Analyst, Creator Business Analysis",Spotify,"New York, NY","We are looking for a Business Analyst for our Creator Business Analysis team. You will help run our emerging businesses related to content promotion and creator monetization. Our customers are music labels and the creators that power them. Your work will help influence the priorities and projects undertaken by our product, marketing, and sales teams. Above all, your work will impact the way listeners experience music and how creators monetize their craft.

This role is at the intersection of data and business, owning the analytics that inform our business decisions across all paid Artist promotional and fan monetization products at Spotify. Your work will have a significant impact on Spotify’s product, sales, and marketing strategy, ultimately steering our 6-12 month and 5-year strategies.

You will partner closely with other analysts and data owners as well as senior leaders across business, product, marketing, and sales.

What You'll Do
Creating and maintaining data facets that increase the confidence in strategic decisions while driving operational efficiency by standardizing data, automating reporting and ultimately enabling faster, data-backed decisions.
Developing models to understand and define leading indicators, quantifying their impact
Building presentations to communicate findings and strategic recommendations
Partnering with cross-functional leaders to understand their needs and generate hypotheses for future analysis
Proactively recommend analyses and strategic changes based on your data findings
Who You Are
You are an intellectually curious and driven analyst who thrives on solving technical problems that answer business strategy questions
You balance accuracy and speed based on the question being asked while proactively building data pipelines and dashboards to automate answers to the most basic questions
You are curious and self-motivated. You see opportunities to improve cross-functional understanding and are proud to deliver insights that drive action.
You are detail oriented. You are known for having double checked sources of information to validate accuracy and dependability.
Ideal candidates will come from a technical background (computer science, statistics, etc.) with a deep interest in business applications
You want to see your analytical skills drive business strategy
Experience working closely with product, marketing and/or sales organizations
Skilled in SQL and possibly other data analytics/data science languages
Comfortable with financial analyses
Strong written communication
Strong self-motivation and autonomy
Undergraduate degree
Preferred
3-5+ years of experience in consulting, strategy, analytics, engineering, or other technical roles
Undergraduate degree in a technical field (science, math, engineering, computer science, etc.)
1+ years experience building statistical models
Experience with Python
Where You'll Be
We are a distributed workforce enabling our band members to find a work mode best for them!
Where in the world? For this role, it can be within the Americas region in which we have a work location
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here
Working hours? We operate within the Eastern Standard time zone for collaboration
Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 381 million users.

Global COVID and Vaccination Disclosure

Spotify is committed to safety and well-being of our employees, vendors and clients. We are following regional guidelines mandating vaccination and testing requirements, including those requiring vaccinations and testing for in-person roles and event attendance. For the US, we have mandated that all employees and contractors be fully vaccinated in order to work in our offices and externally with any third-parties. For all other locations, we strongly encourage our employees to get vaccinated and also follow local COVID and safety protocols.

This role is not eligible for hire in Colorado, USA."
90,"Business Analyst, Shopping Experience",Amazon,"Tempe, AZ","About The Team

DESCRIPTION

Customer Trust & Partner Support (CTPS) is responsible for creating a trustworthy shopping experience across Amazon stores worldwide by protecting customers, brands, selling partners and Amazon from fraud, counterfeit, and abuse as well as empowering, providing world‐class support, and building loyalty with Amazon’s millions of selling partners. We value individual expression, respect different opinions, and work together to create a culture where each of us is able to contribute fully. Our unique backgrounds and perspectives strengthen our ability to achieve Amazon's mission of being Earth's most customer-centric company.

The Selling Partner Trust, Abuse, Risk and Reviews (STAR) focuses on building and maintaining selling partner trust, preventing multiple forms of seller and vendor abuse, and reinforcing customer trust in our store. STAR addresses risk from Selling Partner accounts across three areas. The STAR team enforces Amazon’s selling and listing policies regardless of whether they are acting alone, or in collusion with other parties. The team also creates a trustworthy selling experience to ensure that Selling Partners perceive Amazon as the safest and most effective store in which to sell their products worldwide. Finally, STAR partners with all CTPS teams to audit and ensure accuracy in our enforcement actions.

About The Role

We’re looking for leaders who are passionate about providing exceptional services, think globally, and have the ability to innovative on behalf of Amazon and its Customers, are you that person? In this role, you will be
Identifying, and tracking initiatives that improve the Customer experience.
Conducting analysis to isolate issues based on changing business priorities.
Interacting with stakeholder teams to define data solutions and establish standard processes.
Working with science and engineering teams to track ongoing issues.
Build data processes to track the team’s overall efficiency.

Basic Qualifications
Experience in Excel
Experience defining requirements and using data and metrics to draw business insights
Experience making business recommendations and influencing stakeholders
5+ years relevant experience in financial/business analysis
Experience with SQL
Bachelor’s degree
Experience in data transformation through SQL and Excel.
Experience with data visualization tools such as Tableau, QuickSight, MicroStrategy, etc.
Experience working with large-scale, complex datasets.
Strong verbal and written communication skills.
Preferred Qualifications
Master’s degree.
Familiarity with Redshift, Hadoop, etc.
Demonstrated strength in data modeling, ETL, and Data warehousing.
Proficiency with at least one statistical software package, e.g. R, SPSS, etc.
Proven ability in conducting statistical analysis, e.g., regression, modeling, forecasting, etc.
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


Company - Amazon.com Services LLC

Job ID: A1630889"
91,CDI Business Analyst,Cisco,"San Jose, CA","What You’ll Do

The Business Analyst for Corporate Development/Corporate Development Integration is responsible for leading and carrying out critical processes and frameworks around financial planning, resource planning, supplier/vendor management, and business operations. This role relies on strong relationship building and self-starter attitude to successfully collaborate on many deliverables integral to Cisco’s Corporate Development portfolio.

As the Business Analyst, your key responsibilities include

You will drive planning, forecasting, scenario analysis, and validation for functional, deal, and investment budgets.

You will work with deal leads/integration leads to define, plan, procure, and measure resourcing for significant investment/acquisition/divestiture activities

You will develop and steward corporate development supplier/vendor management framework, methodology, metrics, and analytics (SOW tracking, regular business reviews, overall health scorecard, resource optimization)

You will own operational spend activities (invoicing, accruals, headcount tracking, expense allocation/tracking) and own highly confidential data

You will deliver assessments and executive summaries to senior leadership and cross-functional deal/integration sponsors/teams

You will partner with Corporate Development Integration Business Operations, Investment Portfolio team, M&A Finance, and Corporate Development Finance

You will take on and drive new initiatives/projects as needed

Who You’ll Work With

With 200+ successful acquisitions, Cisco is recognized as an industry leader in acquisition integration. The Corporate Development Integration (CDI) team plays a key execution role in Cisco’s innovation, revenue and margin growth by maximizing the value of acquisitions, orchestrating divestitures, and engaging in JV’s and partnerships. We are a diverse, high-performing, dynamic team focused on gaining maximum value from Cisco’s acquisitions and other related transactions. We impact senior executive leaders and workstream leads from across Cisco business who are passionate about Cisco’s acquisition integration success.

Who You Are
You have a BS degree in Business, Finance, or equivalent; with 3-5 years working in Finance or equivalent role
You have effective teamwork, communication, and analytical skills with flexibility to self-motivate and work independently with attention to detail
You prioritize/manage competing requirements to meet deadlines and deliver outcomes with good judgment and discretion
You effectively resolve issues, solve complex business problems, and always seek/envision opportunities for improvement/transformation
You are well-versed in Excel, Smartsheet, Business Objects, GL, P&L

Why Cisco

#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!"
92,"Business Analyst - Alexa Shopping, Alexa Shopping",Amazon,"Seattle, WA","Job Summary

DESCRIPTION

At Alexa Shopping, we strive to enable shopping in everyday life. We allow customers to instantly order whatever they need, by simply interacting with their Smart Devices such as Amazon Show, Spot, Echo, Dot or Tap. Our Services allow you to shop, no matter where you are or what you are doing, you can go from 'I want that' to 'that's on the way' in a matter of seconds. We are seeking the industry's best to help us create new ways to interact, search and shop. Join us, and you'll be taking part in changing the future of everyday life.

Are you looking for a role in one of the most innovative areas at Amazon? Do you thrive in building something from scratch only to watch it grow and impact the millions of customers who use your product on a daily basis? Invention has become second nature at Amazon, the pace of innovation is only accelerating, and the breadth of our businesses expanding. Amazon’s growth requires leaders who move fast, have an entrepreneurial spirit to promote new products, unrelenting tenacity to get things done, and are capable of breaking down and solving complex problems in ambiguous environments.

The Amazon Alexa Shopping Customer Activity & Valuation (CAV) team is looking for a motivated Business Analyst to join us in our mission of re-inventing the way customers shop. You will work closely with leadership, program managers, product managers, data engineers, data scientists, and product marketing to drive automated analytics, attribution, reporting, and decision making. If you love working with huge data sets and delivering the insights you discover through business intelligence reporting and automated systems, then this is the job for you. You'll be challenged, have fun, and make history driving the intersection of ambient computing and retail commerce.

Key job responsibilities

Job responsibilities
Own key Alexa Shopping Goals’ instrumentation responsibilities to measure customer’s shopping success in interacting with Alexa.
Design and drive business critical work streams to bring a programmatic focus to improving these metrics and goals, some of which may be SVP/VP goals.
Collaborate with tech, business & ops teams and influence them in order to deliver best product and features to improve toppling goal metrics.
Provide updates to Alexa shopping leadership team on key programs, processes and metrics.
Build and drive mechanisms to ensure delivery on key actions from leadership reviews.
Highlight any bottlenecks (e.g. Telemetry miss) that block progress, propose potential solutions and drive implementation to meet and exceed program goals.

Basic Qualifications

5+ Years of industry experience
Experience gathering business requirements and discerning importance
Stakeholder management skills and ability to preserve time to work on strategic projects despite competing demands
Strong experience using industry standard business intelligence and data engineering tool(s) to interact with, extract, transform, and load data
Advanced SQL skills with experience analyzing large-scale, complex, unstructured datasets
Experience developing within and contributing to a large-scale data lake environment as a data creator
Experience with visualization tools such as QuickSight, Looker, Tableau, Excel
Bachelor's of Science or higher in Information Systems, Computer Science, Mathematics, Statistics, Sciences, or a similar field or equivalent industry experience
Preferred Qualifications
Experience working in a lean, successful start-up or on a new product team where continuous innovation is desired and ambiguity is the norm
Experience with advanced statistical analysis and modeling
Experience owning business/program outputs and goals
Experience working with Git/repository workflows
Experience with one or more modern programming languages
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


Company - Amazon.com Services LLC

Job ID: A1880352"
93,Business Transformation Analyst,Jobs via eFinancialCareers,"New York, NY","Who We Are

Workplace Operations & Supply Chain, through our services and applications, provide an employee experience that drives innovation, collaboration, productivity, and transparency. Our Continuous Improvement team identifies transformation opportunities in our shared services to improve our employee experience.

Our internal clients span supply chain, facilities, capital and design, global real estate, employee operations, collaboration solutions, and workplace engineering and innovation.

You will gather and analyze information, formulate, and test hypotheses, and develop and communicate recommendations. You will also present results to our senior leaders and implement recommendations in collaboration with engineering and business teams.

We'll Trust You To
Identify business needs, design processes, and leverage technology to ensure Bloomberg employees can continue to deliver best in class products to our customers
Work on project-based engagements end to end: from problem identification to solution design and implementation strategy. Our team's success is contingent on realized and quantified business results.
Drive automation and simplification across workflows in the organization while embedding data and analytics to support smarter decision making
Manage key integration elements to ensure the needed processes, technology and organizational touchpoints are addressed
Deliver projects with an unyielding focus on quality results (analyses and deliverables)
You Will Need To Have
3+ years of experience in consulting, business management, analytics, FP&A
Experience working in an agile framework
Strategic mindset with deep intellectual curiosity
Exceptionally strong client management and executive-level communication skills
Ability to define and drive a delivery roadmap inclusive of milestone deliveries
Self-starter and must be able to perform duties with moderate to low supervision
Anticipates and resolves issues with a sense of urgency
Adapts to a rapidly changing business and technical environment
Superior command of PowerPoint and Excel
Experience with Python for data analysis preferred
Does this sound like you?

Apply if you think we're a good match. We'll get in touch to let you know what the next steps are.

Bloomberg is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of age, ancestry, color, gender identity or expression, genetic predisposition or carrier status, marital status, national or ethnic origin, race, religion or belief, sex, sexual orientation, sexual and other reproductive health decisions, parental or caring status, physical or mental disability, pregnancy or maternity/parental leave, protected veteran status, status as a victim of domestic violence, or any other classification protected by applicable law.

Bloomberg is a disability inclusive employer. Please let us know if you require any reasonable adjustments to be made for the recruitment process. If you would prefer to discuss this confidentially, please email amer_recruit@bloomberg.net."
94,"Senior Business Analyst, Prime Video Channels",Amazon,"New York, NY","Job Summary

DESCRIPTION

The role may be located in New York City, Seattle, or Los Angeles. We are looking for a talented media industry analyst who is passionate about applying analytical, data-driven, strategic thinking to drive crucial business decisions for our growing Prime Video Channels business. Prime Video Channels brings wide selection of great content to Amazon customers around the world.

Prime Video is fast becoming one of the major global players in digital entertainment. We are changing the way millions of customers enjoy movies and TV shows through Amazon Prime, new releases for rent or purchase, and subscription through Prime Video Channels. Prime Video Channels, launched in 2015, distributes video channels OTT including Showtime, Starz, Acorn TV, PBS Masterpiece and many more channels without a cable subscription.

Key job responsibilities

Review data and deliver insights to inform content selection and customer acquisition / engagement / retention decisions.

Work closely with Content Acquisition Managers, Marketing, Insights, and Strategic Planning on both ongoing and one-off analyses.

Develop actionable insights that make impactful differences.

Present insights and findings across complex and varied data points to senior leadership in a clear and succinct written or verbal format.


Basic Qualifications
Bachelor's Degree
5+ years relevant experience in financial/business analysis
Experience defining requirements and using data and metrics to draw business insights
Experience making business recommendations and influencing stakeholders
Experience in SQL
Experience with Microsoft Excel
Preferred Qualifications
2+ years experience in strategy consulting or similar role
2+ years experience in media/entertainment
Experience taking variable internal and external data sets and reconciling into useful insights
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


Company - Amazon.com Services LLC

Job ID: A2030383"
95,Business Analyst,AMC Networks,New York City Metropolitan Area,"Posted by
Mariah Rousell
Tech Recruiter at AMC Networks
Send InMail
JOB SUMMARY

The Business Analyst / Developer will be a project team member in the rollout of new applications across AMC Networks as part of projects driving business process change.
The Business Analyst / Developer must be able to work independently with oversight, guidance and coaching from their London based manager.
The candidate must be able to follow direction, work & learn quickly in a fast-paced environment and work tactfully and professionally with business users.
The role will involve different business solutions over time and currently includes working with Conga contracting software, Docusign workflow software and (of lower priority) Microsoft PowerBI. The work involves prototyping changes with users, carrying out testing and migrating changes to Production. As such some experience of basic configuration of a business workflow application is essential.

JOB RESPONSIBILITIES
Learn new business systems to be able to configure workflows
Providing user support: Recording, tracking and resolving queries
Provide 1:1 and small group trainings
Lead meetings/workshops to document requirements and outcomes
Follow up with project team members on requirements, business processes (“as is” and “to be”) and document use cases to ensure business needs will be met by new systems
Produce project documentation, such as requirements documents, rollout plans and test plans
Perform unit testing and coordinate user acceptance testing
Participate in project meetings and serve as liaison between system owners and business users
Update, implement and maintain processes and/or procedures
Work independently on multiple tasks with commitment and willingness to see issues through to resolution

QUALIFICATIONS (Required & Preferred)
A minimum of 3 years’ experience in business analysis and / or application development
Must have at least 6 months of basic business application workflow experience – Docusign workflow or some form of contracting legal system / financial approval commitment system is not essential but of benefit
Experience of successfully delivering some level of business process change, working with internal company staff members
Organized, professional and with a “can do” attitude

KEY RELATIONSHIPS
Business users
Legal/Payroll/HR/Finance/IT staff
3rd party vendors"
96,Business Analyst -- Anti-Money Laundering (AML),Dice,United States,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, nfolks, is seeking the following. Apply via Dice today!

Hi, Business Analyst -- Anti-Money Laundering (AML). Understanding of ETL and SQL. 100 Remote Long Term Background check and drug test mandatory Sincerely, HR Manager nFolks Data Solutions LLC Phone Email arun(AT)nfolksdata.com"
97,Business Analyst,UBS,"Philadelphia, PA","Job Reference #
249759BR

Job Type
Full Time

Your role
We're looking for a Business Analyst to:

work closely with the Market Head and Assistant Market Head, and act as their proxy, performing specified activities on their behalf
develop and implement business-wide action plans and key initiatives
focus on developing our current Financial Advisors and initiate growth for new Financial Advisors
run regular informational meetings, assist with implementing growth initiatives, evaluate progress
support the management of the market P&L and day to day market management
develop and implement business-wide action plans and key initiatives to drive the firm and market strategy for growth
manage a portfolio of projects, ensuring efficient use of technology
run regular sales meetings, assist with implementing growth initiatives, evaluate progress and create action plans to address underperformance

Your team
You'll be working in the Pennsylvania/Southern NJ Market Philadelphia, PA.

Diversity helps us grow, together. That’s why we are committed to fostering and advancing diversity, equity, and inclusion. It strengthens our business and brings value to our clients.

Your expertise
Key Deliverables:

assist with selecting, hiring and on-boarding of FAs and oversee conversion of transitioning FA
develop business development strategy and implement growth plans for the market
create and drive a culture of asset growth, continued Financial Advisor development and high retention within the market
develop structured coaching program for FAs and establish a sustainable process to help them identify and achieve their growth and productivity needs

You have:

a university degree
experience with a leading financial institution, with experience within a Wealth Management Branch Office and/or Home Office setting
clean regulatory track record
experienced in driving change within a large, complex organization
knowledge and skills associated with the tools and techniques of planning and running organizational projects and processes
strong communication, negotiation, and influence skills
proven track record of delivering results and meeting targets
FINRA Series 7 and 66 required, 9 and 10 preferred

You are:

energetic and determined, has a bias for action, operates with a sense of urgency, and an expert problem solver
able to interact with all levels of management, multi-task and work well under pressure
open minded person who is willing to gain personal development and coaching
committed to sound business standards and practices; and have a positive attitude toward risk management.
an inspirational leader to peers and subordinates, with a vested interest in developing the careers of those on his/her team
proficient with Microsoft Excel and PowerPoint; able to produce advanced level presentations & reports
someone with excellent organizational skills
able to prioritize and adapt to changing deadlines
detail oriented and careful about quality of work
able to juggle several running projects
able to take analyses and turn them into proposals
able to provide cogent commentary to the numbers

About Us
UBS is the world’s largest and only truly global wealth manager. We operate through four business divisions: Global Wealth Management, Personal & Corporate Banking, Asset Management and the Investment Bank. Our global reach and the breadth of our expertise set us apart from our competitors.

With more than 70,000 employees, we have a presence in all major financial centers in more than 50 countries. Do you want to be one of us?

Join us
At UBS, we embrace flexible ways of working when the role permits. We offer different working arrangements like part-time, job-sharing and hybrid (office and home) working. Our purpose-led culture and global infrastructure help us connect, collaborate, and work together in agile ways to meet all our business needs.

From gaining new experiences in different roles to acquiring fresh knowledge and skills, we know that great work is never done alone. We know that it's our people, with their unique backgrounds, skills, experience levels and interests, who drive our ongoing success. Together we’re more than ourselves. Ready to be part of #teamUBS and make an impact?

Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce."
98,"Business Analyst, Claims",Amazon,"New York, NY","Job Summary

DESCRIPTION

Do you enjoy solving complex business problems, transforming data into information, and using that information to influence business decisions? Are you able to form a picture and tell a story based on what the numbers are saying? Do you have experience joining data sets from disparate sources in order to do so? If so, this opportunity may be for you.

The Global Risk Management & Claims organization is seeking a Business Analyst to be part of the team. The ideal candidate will be excited about understanding and implementing new and repeatable processes and providing data to the businesses we support. You will partner with key stakeholders to dig deep into the business challenges to understand and identify insights. This will enable us to use data and metrics to develop the standards needed to improve our ability to scale this program. You will be comfortable delivering/presenting these recommended solutions by gathering business requirements that will be immediately useful to improve the business decision-making process. This role requires an individual with excellent analytical skills as well as an outstanding business acumen. The ideal candidate knows and loves our customers (internal and external) and will work back from the customer to create structured processes. You are an expert in partnering and earning trust with operations/business leaders to drive these key business decisions.

Virtual location flexibility dependent on candidate experience and proximity to key stakeholders.

Key job responsibilities
Analyze data looking for trends that help the business team to drive our strategy
Work with teams to develop tactical reports and dashboards which help guide the team with to drive key business decisions. You will own the design, development, and maintenance of ongoing metrics, reports, analyses, dashboards, etc.
Forecasting (as appropriate)
Data integrity/data cleanliness/data maintenance
Research, identify, gather and curate data from multiple sources to provide a more complete picture of our outputs
Identify root causes of data issues and develop solutions
Enable effective decision making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable format
Prepare and deliver business reviews to the senior management team regarding progress and roadblocks
Analyze historical data to identify trends and insights
Participate in strategic and tactical planning discussions
Own the development and maintenance of new and existing artifacts focused on analysis of requirements, metrics, and reporting dashboards
Partner with operations/business teams to consult, develop and implement metrics, automated reporting/process solutions, and process improvements to meet business needs

Basic Qualifications
Bachelor’s degree in Computer Science, Mathematics, Science, Finance, Information Systems or related technical field
Preferred Qualifications
5+ years of experience in analytics, business analysis, data science or similar job function
Experience working with SQL, VBA, Excel, Access
Experience with tools like Tableau and QuickSight
Experience in working with large datasets
Database and data warehouse knowledge
Experience developing custom reporting solutions
Agile and Waterfall project management skills
Experience with project management platforms like Playbook, Amazon Projects, Jira, Rally
Resident of Colorado: The pay range for this position in Colorado is $63,700 – 111,500/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


Company - Amazon.com Services LLC

Job ID: A2027729"
99,Business Analyst,"Self Esteem Brands, LLC",United States,"Posted by
Debra Ziemann
Talent Acquisition Manager at Self Esteem Brands, LLC
Send InMail
Self Esteem Brands, LLC – the parent company of Anytime Fitness, LLC, Waxing the City Worldwide, LLC, Basecamp Fitness, LLC, The Bar Method Franchising, LLC and Stronger U, is seeking a Business Analyst within our Marketing team. At Self Esteem Brands, we offer a fun, fast-paced, inspirational environment. Look forward to work on Mondays! Regularly voted “Best Places to Work in Minnesota,” we offer a culture like no other.

Summary
Help us be more consumer centric and make strong data driven decisions for all our brands. Looking for a naturally curious Business Analyst with a passion for business, marketing, and operational analytics. You will provide strategic insights derived from consumer data, sales, marketing, operations, and competitive intelligence to drive business-critical strategy.
The Business Analyst will provide support to Self Esteem Brands by creating compelling and easy to use reports for KPIs and other relevant business metrics. Come join a team of consumer obsessed data nerds who want to raise the self-esteem of the world!
PRIMARY RESPONSIBILITIES include:
Aggregates and performs analysis on business data for brand and product teams. Analyze cause-effect relationships between marketing and business operations, customer behavior, synthesizing relevant data to provide recommendations for strategy and tactics.
Integrates data from multiple data sources or functional areas, ensures data accuracy and integrity, and updates data as needed.
Develop report to track KPIs and relevant business metrics to help inform data-driven business decisions and leverage structured / analytical thought processes to provide interpretations and recommendations based on the data.
Successfully tell stories from disparate data sources, analyzing and building models, utilizing data to design business goals, and structuring visualizations.
Presenting clear, concise insights and stories to leadership, strategy, and internal partners to communicate recommendations derived from insights.
QUALIFICATIONS:
Required 2+ years relevant analytics experience working in a business environment
Naturally curious and comfortable with business metrics. Must have working knowledge of business performance metrics like LTV and key driver analysis.
Must have working knowledge of database querying/ SQL, data analysis tools such as Alteryx (ideal), R, or Python and reporting/ data visualization skills using software like Tableau and Power BI.
Knowledge of data gathering, cleaning, and transforming techniques, collect data from a variety of sources, generate insights from the available information.
Analytical and problem-solving skills, identify patterns in data, assess data quality
Create mechanisms for exploring structured, semi-structured, and unstructured data.
Ideal candidate will have familiarity building dashboards and reporting in Power BI or must be willing to learn platform quickly.
Familiarity with predictive analytics, hands-on experience building models definite plus
Solid written and verbal communication skills and ability to work cross functionally at all levels of a multi-brand, shared services environment.
We are an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sexual orientation, sex, national origin, disability, or protected veteran status."
100,Business Analyst,"Self Esteem Brands, LLC",United States,"Posted by
Debra Ziemann
Talent Acquisition Manager at Self Esteem Brands, LLC
Send InMail
Self Esteem Brands, LLC – the parent company of Anytime Fitness, LLC, Waxing the City Worldwide, LLC, Basecamp Fitness, LLC, The Bar Method Franchising, LLC and Stronger U, is seeking a Business Analyst within our Marketing team. At Self Esteem Brands, we offer a fun, fast-paced, inspirational environment. Look forward to work on Mondays! Regularly voted “Best Places to Work in Minnesota,” we offer a culture like no other.

Summary
Help us be more consumer centric and make strong data driven decisions for all our brands. Looking for a naturally curious Business Analyst with a passion for business, marketing, and operational analytics. You will provide strategic insights derived from consumer data, sales, marketing, operations, and competitive intelligence to drive business-critical strategy.
The Business Analyst will provide support to Self Esteem Brands by creating compelling and easy to use reports for KPIs and other relevant business metrics. Come join a team of consumer obsessed data nerds who want to raise the self-esteem of the world!
PRIMARY RESPONSIBILITIES include:
Aggregates and performs analysis on business data for brand and product teams. Analyze cause-effect relationships between marketing and business operations, customer behavior, synthesizing relevant data to provide recommendations for strategy and tactics.
Integrates data from multiple data sources or functional areas, ensures data accuracy and integrity, and updates data as needed.
Develop report to track KPIs and relevant business metrics to help inform data-driven business decisions and leverage structured / analytical thought processes to provide interpretations and recommendations based on the data.
Successfully tell stories from disparate data sources, analyzing and building models, utilizing data to design business goals, and structuring visualizations.
Presenting clear, concise insights and stories to leadership, strategy, and internal partners to communicate recommendations derived from insights.
QUALIFICATIONS:
Required 2+ years relevant analytics experience working in a business environment
Naturally curious and comfortable with business metrics. Must have working knowledge of business performance metrics like LTV and key driver analysis.
Must have working knowledge of database querying/ SQL, data analysis tools such as Alteryx (ideal), R, or Python and reporting/ data visualization skills using software like Tableau and Power BI.
Knowledge of data gathering, cleaning, and transforming techniques, collect data from a variety of sources, generate insights from the available information.
Analytical and problem-solving skills, identify patterns in data, assess data quality
Create mechanisms for exploring structured, semi-structured, and unstructured data.
Ideal candidate will have familiarity building dashboards and reporting in Power BI or must be willing to learn platform quickly.
Familiarity with predictive analytics, hands-on experience building models definite plus
Solid written and verbal communication skills and ability to work cross functionally at all levels of a multi-brand, shared services environment.
We are an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sexual orientation, sex, national origin, disability, or protected veteran status."
