,position,company,location,details
32,Data Scientist - IBM Client Engineering,IBM,"Cambridge, MA","550219BR

Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible.

Your Role and Responsibilities

As a Data Scientist working at the IBM Client Engineering, you will be the Subject Matter Expert on ML, Data and AI Statistical models and how they apply to business problems.

Led by a solution architect, you will advise on and help implement models in Machine Learning, Optimization, Neural Networks, and Artificial Intelligence such as Natural Language, and other quantitative approaches.

You will act as a key contributor partnering with clients to understand business problems and propose solutions.

You will deliver meaningful insights and predicts emerging trends to inform business solutions that optimize client value.

You will contribute to co-creation of rapid proofs of concept and minimally viable solutions that demonstrate business value, leading to client investment in strategic solutions.

To Be Successful In This Role You

are creative, out of the box thinker, you dare to try new ideas and innovation is always on your mind.
are familiar with Data Engineering techniques to gather, prepare, cleanse, and transform client data for analysis and AI automation, including automating data pipelines
Demonstrate strong business acumen and ability to understand business problems, formulate hypotheses and test conclusions to influence solution design
Leverage a variety of structured and unstructured data sources, analytics, AI tools, and programming languages to derive meaningful data insights (e.g., Python, R, Spark, TensorFlow, Jupyter, etc.)
Possess relevant industry and/or business domain knowledge such as Financial Services/Banking, Retail/Consumer Product, Telco, Public/HealthCare which you will apply to shape solutions
Expand partnerships at all levels of the client organization to identify new opportunities for data science applications

IBMReferred_NorthAmerica

Required Technical and Professional Expertise

At least 4 years as a Data Scientist with a deep understanding of Statistics, Machine Learning, NLP/NLU
At least 4 years of experience with identifying data sources, transforming data, and the use of Frameworks (e.g., MXNet, TensorFlow, PyTorch, SparkML, scikit-learn) to help our customers build ML models
At least 2 -4 years in a client facing role, including facilitating client discussions and problem framing
Creative mind and out of the box thinking and you write code with Python, R, Scala, Java, C++ & G0

Preferred Technical And Professional Expertise

Masters or PhD in a highly quantitative field (Data Science, Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)
Experience Consulting with client and taking on and solving complex business problems related to data, Ability to thrive in a startup environment and deliver on the end goals
Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment
Experience and Ability to work across multi clouds (IBM, AWS, GCP and Azure)

About Business Unit

IBM has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. The company’s Global Markets organization is a strategic sales business unit that manages IBM’s global footprint, working closely with dedicated country-based operating units to serve clients locally. These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients’ growth and innovation. By complementing local expertise with global experience and digital capabilities, IBM builds deep and broad-based client relationships. This local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. Additionally, the Global Markets organization serves clients with expertise in their industry as well as through the products and services that IBM and partners supply. IBM is also expanding its reach to new and existing clients through digital marketplaces.

This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law.

Your Life @ IBM

Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

Benefits

In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to

IBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work.

12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19.
World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals.
Well-being programs to support mental and physical health.
Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.).
Select educational reimbursement opportunities.
Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe.
Giving and volunteer programs to benefit charitable organizations and local communities.
Discounts on retail products, services, and experiences.

This position is eligible for participation in an IBM sales incentive plan. Actual incentive opportunity will be based on performance and the eligible Target Incentive, as addressed in the applicable plan, all of which is subject to change.

We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
33,Data Scientist,TEKsystems,"Roseland, NJ","Description

Engage in translating business requirements into conceptual, logical, and physical data models, who may focus on issues such as reducing redundancy of data within an existing computer system or improving the way in which it moves from one system to another. Knows how to extract meaning from and interpret data, which requires both tools and methods from statistics and machine learning.

Skills

Machine learning, natural language processing, python, AWS, Data science, DataBricks, Sagemaker, Visualization tools, comprehend

Top Skills Details

Machine learning,natural language processing,python,AWS,Data science

Additional Skills & Qualifications

10+ years relevant client experience in similar technology (does not include training period), Including at least 5 years of on-site client experience in similar technology and domain - Min Education - Bachelors degree in technology, Masters preferred Will also be mentoring junior data scientists on the team.

Experience Level

Expert Level

About TEKsystems

We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.

The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law."
34,Entry Level - Associate Data Scientist (Commercial),IBM,"New York, NY","432159BR

Introduction

As an Associate Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

Work You Could Do As An Associate Data Scientist

Implement and validate predictive and prescriptive models, create and maintain statistical models with a focus on big data.
Incorporate a variety of statistical and machine learning techniques in your projects.
Write programs to cleanse and integrate data in an efficient and reusable manner.
Use leading edge and open-source tools such as Python, R, and TensorFlow, combined with IBM tools and our AI application suites.
Work in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.
Communicate with internal and external clients to understand and define business needs and appropriate modelling techniques to provide analytical solutions.
Evaluate modelling results and communicate the results to technical and non-technical audiences.

Locations:

Atlanta, GA

Cambridge, MA

Chicago, IL

Dallas, TX

Houston, TX

New York, NY

San Francisco, CA

Washington DC

Required Technical and Professional Expertise

Ability to look at things differently, debug, troubleshoot, design and implement solutions to complex technical issues.
Strong technical and analytical abilities, a knack for driving impact and growth, and experience with a programming/scripting in a language such as Java or Python.
Basic understanding of statistical programming in a language such as R, Python, or SAS, SPSS, MATLAB.
Basic understanding of Cloud (AWS, Azure, etc.).
Excellent verbal and written communication skills.
Work or internship experience using data science tools in a corporate environment.
Interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies.
Willingness to travel up to 100% of the time.

Preferred Majors

Computer Science, Data Science, Applied Mathematics, Statistics, Cognitive Science, Artificial Intelligence, Business Intelligence, Operations Research, Engineering

Preferred Technical And Professional Expertise

N/A

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law.

Your Life @ IBM

What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

Benefits

In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to

IBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work.

12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19.
World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals.
Well-being programs to support mental and physical health.
Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.).
Select educational reimbursement opportunities.
Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe.
Giving and volunteer programs to benefit charitable organizations and local communities.
Discounts on retail products, services, and experiences.

We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
35,"Data Scientist 2, Data Science",Comcast,"Philadelphia, PA","R334385

Comcast’s Technology, Product & Experience organization works at the intersection of media and technology. Our innovative teams are continually developing and delivering products that transform the customer experience. From creating apps like TVGo to new features such as the Talking Guide on the X1 platform, we work every day to make a positive impact through innovation in the pursuit of building amazing products that are enjoyable, easy to use and accessible across all platforms. The team also develops and supports our evolving network architecture, including next-generation consumer systems and technologies, infrastructure and engineering, network integration and management tools, and technical standards. We offer a flexible working environment to balance the need to work independently wherever you choose, with days that require collaboration at one of our offices. Our roles primarily reside inside or around one of our Tech Hubs (Philadelphia and surrounding suburbs, Denver, Austin, Silicon Valley, Washington DC/N. Virginia). Some roles can work virtual full-time if they are not near a Tech Hub, but that is dependent upon the needs of the position and amount of collaboration required.

Job Summary

Responsible for leveraging internal and external data to provide insights and information which supports a facts-based decision making process. Provides input into strategy, analysis methods and tool selection. Works with moderate guidance in own area of knowledge.

Job Description

Core Responsibilities

Uses analytical rigor and statistical methods to analyze large amounts of data, extracting actionable insights using advanced statistical techniques such as data analysis, data mining, optimization tools and machine learning techniques and statistics (e.g., predictive models, LTV, propensity models).
Develops and executes statistical and mathematical solutions to business problems to support larger initiatives under the direction of senior team members.
Produce analysis of historical patterns in customer behaviors and product performance from complex real-world behavioral data.
Develop and deploy predictive models based on historical data that provide future predictions about customer behavior.
Constructs forecasts, recommendations and strategic/tactical plans based on applying data science techniques to business data.
Create deliverables and presentations that report methodology and results of analysis.
Build customer centric models and optimization tools to support large scale projects that utilize online & offline data, structured & unstructured data, set top box data and media/behavioral/attitudinal data.
Consistent exercise of independent judgment and discretion in matters of significance.
Regular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s) and overtime as necessary.
Other duties and responsibilities as assigned.

Employees at all levels are expected to:

Understand our Operating Principles; make them the guidelines for how you do your job.
Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services.
Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences.
Win as a team - make big things happen by working together and being open to new ideas.
Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.
Drive results and growth.
Respect and promote inclusion & diversity.
Do what's right for each other, our customers, investors and our communities.

Disclaimer:

This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.

Education

Master's Degree

While possessing the stated degree is preferred, Comcast also may consider applicants who hold some combination of coursework and experience, or who have extensive related professional experience.

Relevant Work Experience

2-5 Years

Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details."
36,Data Scientist,Dice,"Princeton, NJ","Dice is the leading career destination for tech experts at every stage of their careers. Our client, Fynbosys Inc, is seeking the following. Apply via Dice today!

Data Scientist SME Princeton,NJ 1 Year Locals to NJ NY Princeton - should be able to come to the Princeton, NJ office a couple of days a week and support the Data Science team in the East coast. Job description As an integral part of Data science team at Security Research, the data scientist will research and implement machine learning and optimization techniques across all areas of security threat identification. The ideal candidate is a persistent problem solver with strong technical skills to create solutions. They should be highly motivated to solve open-ended problems, high impact research questions and be able to collaborate with data engineers and non-technical partners. Job duties Meet with key stakeholders to understand the challenges in Security and devise a plan to solve the problems. Explore and understand the big data that is made available to the team to answer complex business questions. Research analytical approaches to develop, access and deploy machine learning models to predict security threat. Collaborate with team members and stakeholders to deliver high quality solutions. Qualifications and Experience Experience in developing and implementing machine learning algorithms such as regression, classification, clustering to solve business problems. (Must Have) 3+ years of professional experience in analyzing big data, understanding, drawing conclusions and developing models to predict the outcomes. (Must Have) 2+ years of experience in extracting and manipulating large datasets from databases using SQL, Azure Data explorer (Kusto). (Good to Have) Previous experience in working with Azure is a plus. Demonstrated ability to work in highly collaborative technical environment such as Git or Azure Devops, contributing to teamrsquos success by sharing knowledge and documentation."
37,"Data Scientist, Strategic and Financial Intelligence (All Levels)",Uber,"New York, NY","About The Role

Strategic and Financial Intelligence supports Uber’s competitive strategy, financial planning, and cost-benefit measurement. As a Data Scientist, you will use your quantitative skills and broad understanding of businesses to drive high-leverage decisions. You will collaborate with partners in our Operations, Finance, and Marketplace Data Science teams to understand their strategic priorities, and partner with Product, Engineering, and Applied Science teams to develop products, insights, and recommendations that support execution on these priorities.

Strategic and Financial Intelligence focuses on three areas that help drive global strategy across Uber’s lines of business:
Competitive Intelligence: Use quantitative and qualitative signals to understand the performance, products, pricing, and strategy of our competitors.
Marketplace Investments: Determine the most efficient ways of deploying billions of dollars in rider and driver incentives to balance markets and increase growth.
Financial Technology: Build robust financial data platforms and processes that underlie everything from multi-year plans to trip-level discounts for riders.
What You'll Do
Refine ambiguous questions and generate new hypotheses about the business through a deep understanding of the data, our customers, and our strategic environment.
Define how our teams measure success, by developing Key Performance Indicators and other user/business metrics, in close partnership with Product and other subject areas such as engineering, operations and marketing
Collaborate with applied scientists and engineers to build and improve on the availability, integrity, accuracy, and reliability of data logging and data pipelines.
Develop data-driven business insights and work with cross-functional partners to find opportunities and recommend prioritization of product, growth, and optimization initiatives.
Note On Related Roles

While Data Scientists in this role may extend and apply machine learning or statistical models, if you’re interested in a role focused on advanced modeling, please check out our Applied Science roles instead.

Basic Qualifications
Master’s or Bachelor’s degree in Math, Economics, Bioinformatics, Statistics, Engineering, Computer Science, or other quantitative field. (If Master's degree, 1+ years of industry experience required; if Bachelor's degree, 2+ years of industry experience as a Data Scientist or equivalent)
Advanced experience in at least one of SQL, Python, or R
Basic understanding of experimental design (such as A/B experiments) and statistics fundamentals
Experience in extracting insights from data and explaining their implications
Experience with Excel and some dashboarding/data visualization (e.g., Tableau, Mixpanel, Looker, or similar)
Preferred Qualifications
Advanced degree in Business, Finance, Economics, Statistics, Engineering, Computer Science, Operation Research or related field
Strong storytelling: ability to distill important and hard-to-find insights into a compelling, concise data story
Ability to communicate effectively and manage relationships with partners coming from both technical and non-technical backgrounds
Experience analyzing and solving a variety of business, financial, and technical problems
Willingness to get your hands dirty with messy data to identify opportunities and uncover insights
Understanding of business strategy, accounting, and finance, and the ability to connect this to real-world problems"
38,Entry Level Data Scientist,Dice,United States,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Tekgence, is seeking the following. Apply via Dice today!

Position Entry Level Data Scientist Location Initial Remote Later Onsite or Hybrid Responsibilities A Data Scientistrsquos job is to use data to help businesses make decisions. Here are some common duties and responsibilities of a Data Scientist Collecting data through means such as analyzing business results or by setting up and managing new studies Transferring data into a new format to make it more appropriate for analysis Creating new, experimental frameworks to collect data Building tools to automate data collection Searching through large data sets for usable information Creating reports and presentations for business uses Correlating similar data to find actionable results Qualifications Data Scientists must possess skills in a few key areas, such as Exceptional technical writing skills Ability to communicate complex data in a simple, actionable way Ability to visualize data in the most effective way possible for a given project or study Analytical and problem-solving skills Experience with machine learning and AI Familiarity with data management tools Ability to work independently and with team members from different backgrounds Excellent attention to detail"
39,Data Scientist (US Consumer Analytics - Cross Program Optimization),Citi,"New York, NY","Job Id: 22443204

Job Description

The US Consumer Analytics (USCA) Decision Science Team develops statistical tools and tool-driven optimization strategies for NA Cards and Retail Bank marketing programs in order to increase Customer Centricity, aiming to increase customer satisfaction and revenue growth. Within USCA, the Existing Customer Management (ECM) modeling team builds and manages predictive analytics solutions for key initiatives including Balance Transfer, Loan Products, Sales Growth, Product Upgrades, Deposits Optimization, Customer Retention, and others.

Responsibilities:
Serve as data science expert to support cross program optimization and strategy optimization analyses
Configure commercial and in-house marketing optimization software to achieve business goals
Generate insights and presentations to share important messages from optimization results with key stakeholders
Lead advanced computational solution evaluations, such as In-Database Computing, Python, H2O, Microsoft Azure. Transition existing processes into new and enhanced ones, based on cost benefit analysis
Work with technology team to maintain and improve in-house optimization solver including interface
Evaluate, including Digital, Retention, and Customer Service data
Be a go-to resource for configuration and execution question about pricing optimization and cross program optimization
Qualifications:
Advanced graduate level degree in Statistics, Operations Research, Computer Science, Mathematics, Physics, or a similar field required, a Ph.D. degree preferred.
5-8 years of relevant experience
Significant experience with non-linear optimization techniques and machine learning
Strong programming skills in Python, SAS. Ability to learn other language related to optimization software quickly
Excellent analytic ability and problem solving skills
Must be a self-starter with strong work ethic, and with the desire to accomplish tasks with excellence
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.

-------------------------------------------------

Job Family Group:

Decision Management

-------------------------------------------------

Job Family:

Specialized Analytics (Data Science/Computational Statistics)

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting

Effective November 1, 2021, Citi requires that all successful applicants for positions located in the United States or Puerto Rico be fully vaccinated against COVID-19 as a condition of employment and provide proof of such vaccination prior to commencement of employment."
40,Building Model Data Scientist,"Fraunhofer USA, Inc.","Boston, MA","Posted by
Veronica Hensler
HR Manager at Fraunhofer USA, Inc.
Send InMail
The Fraunhofer USA Center for Manufacturing Innovation CMI in Boston, MA is part of Fraunhofer USA, a 501 (c) (3) non-profit contract R&D organization, affiliated with Fraunhofer Gesellschaft, Europe's largest contract R&D group. Fraunhofer USA CMI's interdisciplinary Energy Systems team is dedicated to serving the applied research needs of the sustainable energy community, helping established industry players and startup companies develop and deploy clean energy technologies. The Center has active projects in the areas of building energy systems, deep energy retrofits, and integrating renewable energy with the electric grid. For additional information please view our website at https://www.cmi.fraunhofer.org/en/services/energy-systems.html .
About the Position:
We seek a team member to work closely with senior members of the Energy Systems team to develop, test, and evaluate models and algorithms that enable digitalization of the deep energy retrofit design and delivery processes. You will also contribute to new project proposals and the design of field-testing experiments, as well as publication in top-tier journals and conferences. This position has a high degree of growth potential, and is an excellent opportunity for a talented analytically inclined engineer or scientist to address challenging problems that have a meaningful impact.
Specifically, the position will focus on developing computational algorithms and complex learning algorithms that automatically convert laser scan point cloud data (position and color) from residential building exteriors into accurate geometric models. The methods may involve artificial neural networks to segment data into different building elements (doors, windows, power meters, etc.) and then fit the segmented point clouds to accurately identify the geometries of the building elements with either polylines or surface models.
Responsibilities:
Develop algorithms for point cloud data pre-processing, segmentation, and edge/boundary extraction.
Develop techniques for semantic segmentation of residential building point clouds into subgroups that contain building elements, e.g. siding, roof, window, door, power meter.
In collaboration with other CMI researchers, develop a training set of residential point-cloud data that can be used in artificial neural networks to identify residential building elements such as walls, doors, roofs, protrusions, intrusions and windows.
Develop algorithms to convert the segmented point clouds into accurate geometric representation of building elements with polylines or surface models to create a model of the building façade.
Validate that the algorithms by generate an accurate model of the point cloud and, foremost, the building that the point cloud represents.

- Contribute to and co-author reports and research papers that effectively communicate research findings to different audiences, as well as government and industrial proposals.

Required Education and Experience:
Master’s or Ph.D. degree in related field with a focus on data processing or relevant experience.
Good understanding of and direct experience in Image Processing (e.g., image segmentation, edge detection) and Machine Learning (e.g., clustering, pattern recognition, neural networks) techniques.
Experience with programming (e.g., Python, MATLAB) and databases.

- A strong interest in applying analytical techniques to “noisy” real-world problems and in learning new techniques.
- Building energy systems experience preferred but not essential.
- An excellent academic and/or experience record.
- Ability to work effectively independently with limited oversight.
your cover letter, please explain what motivates you to apply and succinctly describe your most germane work experience.

Fraunhofer USA is an EEO/Affirmative Action Employer of individuals with disabilities, protected veterans and is a federal contractor and does not discriminate based on race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other legally protected status. Upon request, Fraunhofer USA will make accessible to applicants its Affirmative Action. VEVERRA and Section 503 Plans."
41,Research Data Scientist - Artificial Intelligence,IBM,"Yorktown Heights, NY","533916BR

Introduction

As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

We are looking for a Data Scientist to join our AI Lifecycle Acceleration team at our main Research hub in Yorktown Heights, NY. The mission of the IBM Research AI Lifecycle Acceleration team is to drive the end-to-end lifecycle of machine learning models in production with a focus on continuous improvement. We are exploring novel learning paradigms to improve deployed AI systems by learning from user feedback and other production usage signals. Our research also includes tools and methodologies, such as counterfactual methods, to effectively evaluate the performance of these continuously improving systems in production settings, where ground truth data may not be available. Our ambitious AI research agenda is both broad and deep, with leading edge projects in many areas such as conversational systems and AI-infused business automation.

In your role as a Data Scientist, you will interact with the brightest minds in AI and will help transform AI research ideas into scalable, robust systems. You are passionate about coding, building ML models and engineering AI systems that solve real-world problems and your proactive approach to creative problem solving will be essential to the success of our team and the company. We want to bring out the best in you and expect you to do the same to us.

We are specifically interested in candidates with fluency in machine learning and natural language processing and experience with machine learning tools and frameworks, including scikit-learn as well as experience with software development, cloud, CI/CD tools, Kubernetes and operators. IBM Cloud familiarity is also helpful.

Required Technical and Professional Expertise

At least 3 years of experience coding and debugging in one or more general purpose programming languages including: Python, Java, Javascript, C/C++
Experience with standard machine learning techniques and machine learning tools and frameworks including but not limited to: TensorFlow, PyTorch, scikit-learn
Experience in natural language processing
Experience analyzing large scale data from a variety of sources
Basic understanding of reinforcement learning
Ability to transfer project requirements into robust software components and architectures

Preferred Technical And Professional Expertise

Experience in Kubernetes CI/CD tools and operators, IBM Cloud and machine learning training pipelines
Design, validation, and characterization of algorithms and/or systems

About Business Unit

With more than 3,000 researchers in 12 labs located across six continents, IBM Research brings together hundreds of researchers who possess unparalleled industry expertise to address some of the world's most challenging problems. Join us as we do pioneering work in areas such as cognitive computing, augmented intelligence, quantum computing, and blockchain, to name a few.

This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law.

Your Life @ IBM

Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

Benefits

In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to

IBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work.

12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19.
World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals.
Well-being programs to support mental and physical health.
Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.).
Select educational reimbursement opportunities.
Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe.
Giving and volunteer programs to benefit charitable organizations and local communities.
Discounts on retail products, services, and experiences.

We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
